date,window,product,regime,signal,level_z,entry_price,exit_price,exit_reason,bars_held,stop_dist,atr14,be_triggered,pnl_gross,pnl_net
2025-08-11,test,CL,Easing-Backwardation,SELL,1.749,0.8588,0.8588,trailing_stop,3,0.1874,0.0749,TRUE,0,-0.04
2025-08-12,test,CL,Easing-Backwardation,SELL,1.08,0.7058,0.4145,time_exit,21,0.2055,0.0822,TRUE,0.2914,0.2514
2025-08-13,test,CL,Easing-Backwardation,SELL,1.095,0.7177,0.4717,time_exit,21,0.198,0.0792,TRUE,0.246,0.206
2025-08-14,test,CL,Easing-Backwardation,SELL,1.795,0.9105,0.3951,time_exit,21,0.2144,0.0857,TRUE,0.5154,0.4754
2025-08-15,test,CL,Easing-Backwardation,SELL,1.46,0.8352,0.3469,time_exit,21,0.1859,0.0743,TRUE,0.4883,0.4483
2025-08-16,test,CL,Easing-Backwardation,SELL,1.524,0.8567,0.3277,time_exit,21,0.1706,0.0682,TRUE,0.529,0.489
2025-09-20,test,CL,Deep-Contango,BUY,-2.008,-0.195,0.4513,trailing_stop,8,0.1835,0.0734,TRUE,0.6463,0.6063
2025-10-22,test,CL,Easing-Backwardation,BUY,-1.08,0.2383,0.4401,trailing_stop,5,0.1995,0.0798,TRUE,0.2018,0.1618
2025-11-04,test,CL,Easing-Backwardation,BUY,-1.011,0.2732,0.0357,stop_loss,7,0.2375,0.095,FALSE,-0.2375,-0.2775
2025-11-05,test,CL,Easing-Backwardation,BUY,-1.171,0.2047,0.4233,time_exit,21,0.2301,0.092,TRUE,0.2186,0.1786
2025-11-06,test,CL,Easing-Backwardation,BUY,-1.339,0.1331,0.2636,time_exit,21,0.232,0.0928,TRUE,0.1305,0.0905
2025-11-07,test,CL,Easing-Backwardation,BUY,-1.34,0.1359,0.2759,time_exit,21,0.1727,0.0691,TRUE,0.14,0.1
2025-11-08,test,CL,Easing-Backwardation,BUY,-1.316,0.1493,0.0459,stop_loss,3,0.1034,0.0414,FALSE,-0.1034,-0.1434
2025-11-10,test,CL,Easing-Backwardation,BUY,-1.428,0.1037,0.0096,stop_loss,2,0.0942,0.0377,FALSE,-0.0942,-0.1342
2025-11-11,test,CL,Easing-Backwardation,BUY,-1.537,0.0613,0.322,trailing_stop,17,0.1013,0.0405,TRUE,0.2607,0.2207
2025-11-12,test,CL,Easing-Backwardation,BUY,-1.683,0.0034,0.3142,trailing_stop,16,0.1091,0.0436,TRUE,0.3108,0.2708
2025-11-13,test,CL,Easing-Backwardation,BUY,-1.579,0.0563,0.3338,trailing_stop,15,0.0895,0.0358,TRUE,0.2776,0.2376
2025-11-14,test,CL,Easing-Backwardation,BUY,-1.435,0.1262,0.3247,trailing_stop,14,0.0986,0.0394,TRUE,0.1985,0.1585
2025-11-15,test,CL,Easing-Backwardation,BUY,-1.424,0.1367,0.3279,trailing_stop,13,0.0954,0.0382,TRUE,0.1912,0.1512
2025-11-17,test,CL,Easing-Backwardation,BUY,-1.607,0.067,0.3166,trailing_stop,12,0.1067,0.0427,TRUE,0.2495,0.2095
2025-11-18,test,CL,Easing-Backwardation,BUY,-1.597,0.0758,0.3256,trailing_stop,11,0.0977,0.0391,TRUE,0.2498,0.2098
2025-11-19,test,CL,Easing-Backwardation,BUY,-1.356,0.1821,0.308,trailing_stop,10,0.1153,0.0461,TRUE,0.1259,0.0859
